nasdaq_Close,SPX_Close,Prediction,Residual,Excess
0.001494058105552476,0.0031156756258232665,1.221371877506094e-06,0.00149283673367497,0.0014941241540297697
0.0024862871975657175,0.0005455206301101523,1.275855990829346e-06,0.0024850113415748882,0.002486298761929688
0.0009920862061036928,0.00400120187417663,1.2025998141299657e-06,0.0009908836062895627,0.0009921710266443627
0.0,0.0028817272914287706,1.2263312934106584e-06,-1.2263312934106584e-06,6.108906138921411e-08
0.0,0.0017467554316374923,1.250391295834914e-06,-1.250391295834914e-06,3.7029058964958455e-08
0.0009911029465419219,-0.009381166148364262,1.486289497082834e-06,0.0009896166570448391,0.000990904077399639
-0.0009901216340728602,0.008325925658531075,1.1109210083180405e-06,-0.0009912325550811784,-0.0009899451347263784
0.0,0.0024264254383745687,1.2359831306731846e-06,-1.2359831306731846e-06,5.143722412668785e-08
0.0,-0.010823130159869354,1.5168573541739184e-06,-1.5168573541739184e-06,-2.2943699937404587e-07
0.0,0.012499626599363545,1.0224437003669743e-06,-1.0224437003669743e-06,2.649766544328983e-07
0.0,-0.010597829662970737,1.512081261749421e-06,-1.512081261749421e-06,-2.2466090694954858e-07
0.0,-0.01894490338978838,1.6890289211738637e-06,-1.6890289211738637e-06,-4.016085663739911e-07
0.0,-0.022140988764300484,1.756781985882473e-06,-1.756781985882473e-06,-4.6936163108260054e-07
0.0,0.004598098012701168,1.1899463527987127e-06,-1.1899463527987127e-06,9.74740020011599e-08
0.0,-0.004203199573680982,1.3765229973543695e-06,-1.3765229973543695e-06,-8.910264255449686e-08
0.0,0.004880152210944955,1.1839671519621695e-06,-1.1839671519621695e-06,1.0345320283770309e-07
0.0,-0.011817740959567224,1.5379418753851513e-06,-1.5379418753851513e-06,-2.5052152058527875e-07
0.0,-0.009829173828039273,1.495786706873611e-06,-1.495786706873611e-06,-2.0836635207373843e-07
0.0,0.014266108894671836,9.849964562429322e-07,-9.849964562429322e-07,3.0242389855694045e-07
0.0,0.01297294837718499,1.0124098629430833e-06,-1.0124098629430833e-06,2.7501049185678934e-07
0.0,-0.00547431142933863,1.4034689996404942e-06,-1.4034689996404942e-06,-1.1604864484062165e-07
0.0,-0.031140677888039425,1.9475642861366193e-06,-1.9475642861366193e-06,-6.601439313367466e-07
0.0,0.002897118921960873,1.226005009842726e-06,-1.226005009842726e-06,6.141534495714657e-08
0.0,-0.00886329049344714,1.4753111724615874e-06,-1.4753111724615874e-06,-1.8789081766171473e-07
0.0,0.013040132316577413,1.0109856463594668e-06,-1.0109856463594668e-06,2.7643470844040575e-07
0.0,-0.0022325735201887964,1.3347481575508145e-06,-1.3347481575508145e-06,-4.732780275094201e-08
