nasdaq_Close,SPX_Close,Prediction,Residual,Excess
0.0009900272108764874,0.0031156756258232665,4.291353862815016e-05,0.0009471136722483373,0.0009849176368266306
0.0009891423562247148,0.0005455206301101523,3.869859495385951e-05,0.0009504437612708553,0.0009882477258491488
0.0,0.00400120187417663,4.436576359712708e-05,-4.436576359712708e-05,-6.5617990188336406e-06
0.0,0.0028817272914287706,4.2529873419704893e-05,-4.2529873419704893e-05,-4.725908841411458e-06
0.0,0.0017467554316374923,4.0668568374326565e-05,-4.0668568374326565e-05,-2.864603796033125e-06
0.0,-0.009381166148364262,2.2419255492471746e-05,-2.2419255492471746e-05,1.538470908582169e-05
-0.0007904565470826519,0.008325925658531075,5.1458124636956674e-05,-0.0008419146717196086,-0.0008041107071413151
0.0007910818629204286,0.0024264254383745687,4.178319795903247e-05,0.0007492986649613961,0.0007871026295396895
-0.0004940824602234217,-0.010823130159869354,2.0054496519185848e-05,-0.0005141369567426076,-0.00047633299216431413
0.0,0.012499626599363545,5.830281470751086e-05,-5.830281470751086e-05,-2.049885012921742e-05
0.0009886533967493616,-0.010597829662970737,2.0423979646001663e-05,0.0009682294171033599,0.0010060333816816534
0.0,-0.01894490338978838,6.735137664731959e-06,-6.735137664731959e-06,3.106882691356148e-05
-0.0004938384633005333,-0.022140988764300484,1.4936950847077487e-06,-0.000495332158385241,-0.0004575281938069476
9.88541866822068e-05,0.004598098012701168,4.534464759730562e-05,5.350953908490118e-05,9.131350366319462e-05
-9.884441549778966e-05,-0.004203199573680982,3.0910898018332026e-05,-0.00012975531351612168,-9.195134893782826e-05
0.0,0.004880152210944955,4.580720435387388e-05,-4.580720435387388e-05,-8.003239775580444e-06
0.0029644005247468908,-0.011817740959567224,1.842337757672513e-05,0.0029459771471701656,0.002983781111748459
0.0019704885236802028,-0.009829173828039273,2.1684542162486022e-05,0.0019488039815177167,0.00198660794609601
0.0,0.014266108894671836,6.119976971169349e-05,-6.119976971169349e-05,-2.3395805133400057e-05
0.0,0.01297294837718499,5.907904206993067e-05,-5.907904206993067e-05,-2.1275077491637234e-05
0.0,-0.00547431142933863,2.8826329233859354e-05,-2.8826329233859354e-05,8.977635344434082e-06
0.0,-0.031140677888039425,-1.3265408084539416e-05,1.3265408084539416e-05,5.106937266283285e-05
0.0,0.002897118921960873,4.2555115031925366e-05,-4.2555115031925366e-05,-4.7511504536319316e-06
0.0,-0.00886329049344714,2.3268549297476843e-05,-2.3268549297476843e-05,1.4535415280816593e-05
0.0,0.013040132316577413,5.918922084157221e-05,-5.918922084157221e-05,-2.1385256263278768e-05
0.0,-0.0022325735201887964,3.414264000759468e-05,-3.414264000759468e-05,3.661324570698757e-06
-0.000983306667336703,0.009680437561949251,5.367946591348921e-05,-0.0010369861332501923,-0.0009991821686718989
0.0,-0.002744592819371894,3.3302950374165494e-05,-3.3302950374165494e-05,4.50101420412794e-06
0.001968549022051791,0.01800074864554846,6.732441831069531e-05,0.0019012246037410957,0.0019390285683193891
0.000982247043984641,0.0042379594555796984,4.475403584986658e-05,0.0009374930081347743,0.0009752969727130678
0.0,0.006584742448973557,4.860265904552479e-05,-4.860265904552479e-05,-1.0798694467231357e-05
0.0,0.002186622042297248,4.1389930701199614e-05,-4.1389930701199614e-05,-3.585966122906176e-06
0.0,-0.0010458578339902491,3.608880270325585e-05,-3.608880270325585e-05,1.7151618750375862e-06
0.0,-0.012102809596931441,1.7955877269622607e-05,-1.7955877269622607e-05,1.984808730867083e-05
0.0029441303121604534,0.00972045942422195,5.3745100046644995e-05,0.0028903852121138084,0.002928189176692102
0.0,-0.002081040179913507,3.439114816959378e-05,-3.439114816959378e-05,3.4128164086996594e-06
-0.003913890490010563,0.0014053791778985136,4.0108725997641056e-05,-0.003953999216008204,-0.003916195251429911
0.005893856988577806,0.01015850827289455,5.44634813220243e-05,0.005839393507255782,0.005877197471834075
-0.0019530766148807555,0.0023304422719907514,4.162578969351438e-05,-0.00199470240457427,-0.0019568984399959766
0.000880609030213142,0.00042920160206150193,3.8507836749669074e-05,0.0008421011934634729,0.0008799051580417664
0.0,0.0037361180334851696,4.393103749720596e-05,-4.393103749720596e-05,-6.127072918912522e-06
-0.0018574692771243795,0.014007480947064943,6.07756309988226e-05,-0.001918244908123202,-0.0018804409435449086
0.003917723967049813,-0.00017559601339156572,3.751599466709745e-05,0.0038802079723827157,0.0039180119369610095
0.007804870605468972,0.0017127370855292146,4.061277974952453e-05,0.007764257825719448,0.007802061790297741
-0.006776349984628727,0.00452455995494172,4.5224048344774235e-05,-0.006821574032973501,-0.006783770068395208
0.003898631672583086,0.004041519314613495,4.4431882465762006e-05,0.003854199790117324,0.0038920037546956174
-0.004854387360093471,-0.00021734594703937127,3.744752657119491e-05,-0.004891834886664666,-0.004854030922086372
0.0,0.000452194832708086,3.8545544659202537e-05,-3.8545544659202537e-05,-7.415800809091033e-07
0.000975632086032796,0.0077791163013856135,5.056138080446897e-05,0.0009250707052283271,0.0009628746698066205
0.0,0.005821675803744153,4.735126255981227e-05,-4.735126255981227e-05,-9.547297981518838e-06
0.0,-0.0003258460273372066,3.726959110509494e-05,-3.726959110509494e-05,5.343734731985021e-07
-0.001949362311646996,-0.005086446449439896,2.9462411122395198e-05,-0.0019788247227693913,-0.0019410207581910977
0.0019531697471404375,0.005095296193887933,4.6160031234540506e-05,0.001907009715905897,0.0019448136804841904
0.0,0.007170966908320198,4.956404195074215e-05,-4.956404195074215e-05,-1.1760077372448715e-05
