Price,Close,High,Low,Open,Volume
Ticker,QVAL,QVAL,QVAL,QVAL,QVAL
Date,,,,,
2015-01-16,21.460601806640625,21.460601806640625,21.16430126597536,21.182079201532794,6300
2015-01-20,21.44367790222168,21.52833546151086,21.29129461844288,21.52833546151086,33200
2015-01-21,21.706111907958984,21.739129465705673,21.57066047754336,21.604524142501475,14200
2015-01-22,22.05320930480957,22.05320930480957,21.667172838752006,21.669712775429232,17400
2015-01-23,21.88389778137207,22.07014313589334,21.88305167397267,22.07014313589334,3400
2015-01-26,21.99395179748535,21.99395179748535,21.748446627370473,21.816172358578935,15700
2015-01-27,21.833101272583008,21.900826994726028,21.66378615987117,21.79923760415721,25800
2015-01-28,21.42674446105957,21.689183036651883,21.42674446105957,21.62145731723966,12000
2015-01-29,21.529184341430664,21.579132130225755,21.164311812466472,21.333626952849745,8900
2015-01-30,21.553728103637695,21.61298951582576,21.452140340732058,21.528331970265477,9700
2015-02-02,21.833101272583008,21.833101272583008,21.409815105511996,21.553730852195898,9500
2015-02-03,22.33257293701172,22.349504767792258,21.985478479551983,21.985478479551983,7100
2015-02-04,22.16326141357422,22.33257489207707,22.129397749048607,22.33257489207707,13400
2015-02-05,22.391841888427734,22.425703946688486,22.29871840247026,22.30718432071265,14400
2015-02-06,22.366437911987305,22.518821168543965,22.366437911987305,22.468027287927864,2900
2015-02-09,22.468029022216797,22.54421904166782,22.41723352297148,22.484959240590094,14600
2015-02-10,22.56962013244629,22.595017885828774,22.34951111392423,22.459566430539617,55300
2015-02-11,22.578086853027344,22.916715503290522,22.451101311017247,22.916715503290522,2700
2015-02-12,22.71353530883789,22.71353530883789,22.628877753792466,22.65850765585208,12200
2015-02-13,22.891319274902344,23.086030546209653,22.81512762705013,23.086030546209653,11400
2015-02-17,23.05216407775879,23.26380715951869,22.781261191459482,23.26380715951869,35900
2015-02-18,22.95058250427246,23.043704387407637,22.865924925751298,23.043704387407637,41900
2015-02-19,23.06062889099121,23.179148494397044,22.86591765262206,23.179148494397044,9100
2015-02-20,23.179141998291016,23.179141998291016,22.882843072816147,22.882843072816147,18200
2015-02-23,23.162220001220703,23.22147980733794,23.119890414916526,23.196082055555433,8000
2015-02-24,23.28074073791504,23.331534629224784,23.213015011265817,23.238412764275036,13000
2015-02-25,23.38232421875,24.449003739893268,23.331528725584487,24.449003739893268,2900
2015-02-26,23.297672271728516,23.704026626364687,23.20624262267081,23.704026626364687,7500
2015-02-27,23.377248764038086,23.40772477392975,23.34846496874674,23.39079293967501,9100
2015-03-02,23.297672271728516,23.48391761392626,23.263808601487835,23.450055558394247,15200
2015-03-03,23.356931686401367,23.39756744412205,23.306137796604837,23.39756744412205,22100
2015-03-04,23.35353660583496,23.48390813125924,23.187607595132402,23.48390813125924,9600
2015-03-05,23.272275924682617,23.564342831960197,23.246878170468094,23.564342831960197,10500
2015-03-06,22.925172805786133,23.27226724370156,22.89892895396652,23.27226724370156,37300
2015-03-09,23.077556610107422,23.18761027726327,22.984433158485256,23.18761027726327,3900
2015-03-10,22.74739646911621,22.857450148247196,22.696600972863408,22.857450148247196,9600
2015-03-11,22.7558650970459,22.87438632946196,22.662743232293828,22.87438632946196,33400
2015-03-12,22.942102432250977,22.942102432250977,22.84897899185349,22.88030271255454,18800
2015-03-13,22.806657791137695,22.806657791137695,22.69660248994205,22.764328208097645,26200
2015-03-16,23.06062889099121,23.196080327657445,22.86591765262206,23.196080327657445,8200
2015-03-17,23.001373291015625,23.001373291015625,22.950579396664242,22.950579396664242,1400
2015-03-18,23.466981887817383,23.466981887817383,22.9421080037839,22.98443596985781,8800
2015-03-19,23.33153533935547,23.805617055038123,23.261269673795812,23.382330846919945,12000
2015-03-20,23.517780303955078,23.577040109697677,23.399259077761275,23.399259077761275,7900
2015-03-23,23.551639556884766,23.746350785368577,23.551639556884766,23.746350785368577,19800
2015-03-24,23.475452423095703,23.771753088039578,23.424658530870925,23.771753088039578,16100
2015-03-25,23.26380157470703,23.526240095677327,23.255335659703974,23.365390940035564,7400
2015-03-26,23.086023330688477,23.356926165177498,23.043693753606902,23.356926165177498,23500
2015-03-27,23.05216407775879,23.06909591182964,23.00137019025481,23.06909591182964,2500
2015-03-30,23.4153995513916,23.4153995513916,23.186252448722882,23.186252448722882,3900
2015-03-31,23.322046279907227,23.4154028799135,23.261789897631015,23.4154028799135,12400
2015-04-01,23.220205307006836,23.304224956061308,23.16673796329018,23.16673796329018,17600
2015-04-02,23.279613494873047,23.423891148033526,23.271126383657613,23.339021654630137,16400
2015-04-06,23.61908721923828,23.670008262108773,23.542704845557157,23.542704845557157,9800
2015-04-07,23.48245620727539,23.814293748841454,23.48245620727539,23.814293748841454,15800
2015-04-08,23.5053653717041,23.644552058286315,23.364483852817603,23.364483852817603,6800
2015-04-09,23.653039932250977,23.686986760712124,23.559683321168468,23.636065708644875,24800
2015-04-10,23.79732322692871,23.79732322692871,23.62758418820183,23.70396659375378,8600
2015-04-13,23.500272750854492,23.712445667950956,23.279612722824062,23.31355954780903,11600
2015-04-14,23.53421974182129,23.712445835189772,23.41540342540957,23.712445835189772,8400
2015-04-15,23.83974838256836,23.89915653858121,23.313558851631537,23.313558851631537,5300
2015-04-16,23.804946899414062,23.873690377645605,23.763361198616543,23.81428223364915,11000
2015-04-17,23.462928771972656,23.763365687290584,23.398428026664206,23.763365687290584,15700
2015-04-20,23.61908721923828,23.703956703189615,23.595323957982,23.703956703189615,16500
2015-04-21,23.551193237304688,23.593627172213903,23.50875930239547,23.593627172213903,2500
2015-04-22,23.653039932250977,23.82277731205883,23.43237988162481,23.82277731205883,15400
2015-04-23,23.916133880615234,23.9755420443799,23.712448053957353,23.76336910593406,11900
2015-04-24,23.661523818969727,23.712446486331,23.619089881586284,23.670010930196607,15900
2015-04-27,23.61908721923828,23.85672145055186,23.593625888427653,23.695469592919405,29200
2015-04-28,23.678503036499023,23.797320999989502,23.47481718033843,23.797320999989502,8300
2015-04-29,23.644554138183594,23.90764814373646,23.449353793336808,23.90764814373646,8600
2015-04-30,23.40691375732422,23.763364286369793,23.40691375732422,23.763364286369793,3800
2015-05-01,23.7548828125,23.7548828125,23.508763037174568,23.549498908908646,18700
2015-05-04,23.68699073791504,23.77186025144465,23.636069677297805,23.77186025144465,28300
2015-05-05,23.432376861572266,23.814287130981203,23.432376861572266,23.737904753349245,25000
2015-05-06,23.254150390625,23.72093175942682,23.194742235391324,23.72093175942682,19600
2015-05-07,23.135332107543945,23.169278928175533,22.982567367825094,23.169278928175533,27700
2015-05-08,23.372968673706055,23.56816736350078,23.186255475858193,23.56816736350078,24900
2015-05-11,23.23717498779297,23.26263631820581,23.1692797254428,23.17776683558041,7200
2015-05-12,23.169279098510742,23.203227538142595,22.99954175660357,22.99954175660357,24200
2015-05-13,23.254150390625,23.29658594347107,23.07592592492398,23.169280903683685,23500
2015-05-14,23.355993270874023,23.381452982928447,23.271123786940827,23.37296749141082,6500
2015-05-15,23.440858840942383,23.457831439894534,23.271119901416895,23.271119901416895,8000
2015-05-18,23.61908721923828,23.6360614397787,23.381452987924703,23.381452987924703,6300
2015-05-19,23.440858840942383,23.47480565759718,23.339015153476993,23.339015153476993,13200
2015-05-20,23.50875473022461,23.551188656880935,23.406911039998672,23.440859476324164,6900
2015-05-21,23.636064529418945,23.678498467566072,23.50876109622658,23.678498467566072,25200
2015-05-22,23.56817054748535,23.670012652114686,23.509610608885506,23.670012652114686,25000
2015-05-26,23.118364334106445,23.754883181252826,22.999548000639486,23.754883181252826,34500
2015-05-27,23.254150390625,23.288098832901856,22.91467406161056,22.91467406161056,36400
2015-05-28,23.262636184692383,23.322044336563973,23.126845660771398,23.322044336563973,21400
2015-05-29,23.329681396484375,23.339016731226764,23.15230518012717,23.271121474576855,4400
2015-06-01,23.27112579345703,23.457837379208367,23.211717635206647,23.457837379208367,7500
2015-06-02,23.43068504333496,23.576660796478798,23.271131204434393,23.271131204434393,8100
2015-06-03,23.517244338989258,23.610600936482804,23.423889360246534,23.542705670692268,24100
2015-06-04,23.254150390625,23.4069151433692,23.220203567098967,23.4069151433692,15700
2015-06-05,23.355993270874023,23.39842720346524,23.084412217288406,23.084412217288406,25100
2015-06-08,23.194746017456055,23.4493529010446,23.14976578098062,23.4493529010446,26700
2015-06-09,23.118364334106445,23.245667779785496,23.118364334106445,23.211720949688278,8100
2015-06-10,23.340726852416992,23.415411187669392,23.340726852416992,23.381462732440113,8100
