Date,Close,High,Low,Open,Volume
2010-02-11,2130124.25,2248280.011853728,2111584.5871330216,2226696.523739932,2
2010-02-12,2112415.0,2195151.715352371,2101623.254519256,2193491.446816872,2
2010-02-16,2037426.375,2101070.0075207115,2031062.0117479288,2066481.0768029336,1
2010-02-17,2006157.875,2040470.092448276,2000346.934948276,2010308.5464655173,1
2010-02-18,1958010.125,2013075.700872668,1952199.1848325324,2003667.5120301016,1
2010-02-19,1963267.625,1991768.9027131784,1936980.03875969,1975719.639534884,1
2010-02-22,1975443.0,1997303.2040902087,1940577.358033338,1941960.9152542376,1
2010-02-23,2054859.25,2076442.743334231,1979317.0233301912,1979593.7347831945,2
2010-02-24,1990662.125,2028571.5927682791,1966311.5179663608,2019440.1151306643,2
2010-02-25,1976826.0,2091937.928331467,1976826.0,2053475.048432251,2
2010-02-26,1966034.5,2011415.169669247,1959393.4263898665,1992322.0830401129,1
2010-03-01,1879424.125,1944451.3142483805,1873336.4732405772,1943067.75703033,2
2010-03-02,1865035.0,1876380.168397626,1831276.2062314544,1862267.8857566768,1
2010-03-03,1865035.0,1879147.2826409496,1833213.1862017808,1858393.9258160235,1
2010-03-04,1841791.5,1880531.1048677885,1835150.4248798075,1854796.9387770433,1
2010-03-05,1760161.375,1808032.4515406385,1751029.897972017,1795857.148836661,2
2010-03-08,1745772.5,1751860.1517673165,1734980.7536852115,1748539.614439689,1
2010-03-09,1715611.0,1760991.678064516,1687939.8548387096,1760991.678064516,3
2010-03-10,1674380.625,1703435.321021319,1663312.1693728308,1700391.4957238473,2
2010-03-11,1658054.875,1693473.9377503337,1656948.029289052,1684619.1720627504,2
2010-03-12,1655564.5,1671060.3402139395,1637024.834029751,1637024.834029751,2
2010-03-15,1665526.125,1698731.497154843,1654180.9561804286,1666909.6821731185,2
2010-03-16,1633427.75,1664419.4335507369,1627616.809334237,1650860.5719972895,2
2010-03-17,1625679.625,1632597.410638298,1598561.9052978724,1627893.316404255,2
2010-03-18,1606310.0,1627063.3591731268,1599668.9250645996,1616271.6124031008,2
2010-03-19,1635364.5,1649476.7824873098,1587770.135532995,1635364.5,3
2010-03-22,1589430.5,1657501.513753482,1569230.5650243731,1650583.7278029246,5
2010-03-23,1557885.5,1600222.352841918,1552351.2708703375,1581129.2623445825,3
2010-03-24,1574488.125,1588046.985830404,1563696.37862478,1565633.3587434094,4
2010-03-25,1587493.5,1589430.4800418338,1521912.8900122016,1540729.2675614434,4
2010-03-26,1577808.375,1604095.9575368292,1547646.8329314275,1566463.2077998947,3
2010-03-29,1557331.875,1568677.0432436033,1543496.3039712152,1556225.029317697,2
2010-03-30,1542112.625,1568953.6306746816,1528830.4778620133,1543772.8933922483,2
2010-03-31,1558992.25,1570890.8418974087,1537132.0462815051,1558715.5385605255,3
2010-04-01,1562312.75,1597455.1019748496,1514164.9606801276,1544603.218296139,3
2010-04-05,1519145.75,1563973.0016393445,1509460.8499544626,1554841.524453552,4
2010-04-06,1506970.5,1537132.0469151672,1493411.6394601543,1530767.6838046273,3
2010-04-07,1514718.375,1540452.538111984,1497008.843396054,1517762.2007444282,3
2010-04-08,1509460.75,1551520.8845554537,1500882.6962419795,1530490.817277727,2
2010-04-09,1480959.625,1515548.554956091,1478469.2220431613,1503926.6744908444,2
2010-04-12,1476255.5,1484833.5544517338,1464910.3312089972,1476808.922867854,2
2010-04-13,1453011.625,1489260.819986669,1451074.645115216,1481236.1890354217,4
2010-04-14,1402373.375,1436132.1657951856,1401543.2408001183,1430597.9377959748,5
2010-04-15,1385217.5,1402373.6096683978,1379959.9825209747,1402373.6096683978,4
2010-04-16,1428937.875,1458269.287616189,1383833.9103166151,1398222.905184934,8
2010-04-19,1435025.5,1486217.1154068646,1423403.6197454685,1448307.6488623216,8
2010-04-20,1415655.5,1440006.102814699,1403203.487197029,1411228.1176700548,4
2010-04-21,1387431.125,1412058.442535899,1375809.2448145193,1384940.7221031112,5
2010-04-22,1365847.75,1450521.4557333873,1361697.078150324,1428661.2506584278,10
2010-04-23,1349244.875,1379683.1309987695,1345094.2037274404,1367231.117181091,3
2010-04-26,1358376.25,1363633.7665512324,1337346.1837950705,1345647.525718069,4
2010-04-27,1441666.5,1453565.091074856,1355885.9596928982,1372488.6449136275,9
2010-04-28,1439453.0,1472935.0863129566,1418146.217800846,1418146.217800846,16
2010-04-29,1365017.375,1419529.522349483,1357546.1669876345,1419529.522349483,9
2010-04-30,1445817.25,1448584.364354067,1360590.1278947368,1367231.2023444977,8
