Date,Cumulative_Return
2010-01-05,1.105023970993102e-06
2010-01-06,1.2624077088130292e-06
2010-01-07,9.189952364874188e-06
2010-01-08,1.677998110483081e-05
2010-01-11,1.8734755990124086e-05
2010-01-12,4.969980026414689e-06
2010-01-13,1.2282380579264895e-05
2010-01-14,2.1787218549285114e-05
2010-01-15,1.510757571865362e-05
2010-01-19,1.636606241084415e-05
2010-01-20,1.888196584043378e-05
2010-01-21,1.3190818779040825e-05
2010-01-22,-5.6818022604598895e-06
2010-01-25,-3.841987067487729e-06
2010-01-26,-8.865718354233998e-06
2010-01-27,-3.566359760509563e-06
2010-01-28,-7.858560309159657e-06
2010-01-29,-1.841880000630347e-05
2010-02-01,-6.538967637803594e-06
2010-02-02,-4.881921382371424e-06
2010-02-03,-4.888605468655882e-06
2010-02-04,-2.4584592590470855e-05
2010-02-05,-2.2173057016794395e-05
2010-02-08,-2.649386754649541e-05
2010-02-09,-1.574173860574568e-05
2010-02-10,-1.392189738302907e-05
2010-02-11,-7.729686205770747e-06
2010-02-12,-3.0679939921895993e-07
2010-02-16,5.043392027115345e-06
2010-02-17,1.6027189003731124e-05
2010-02-18,2.0194147671181994e-05
2010-02-19,2.153771979473973e-05
2010-02-22,2.402250552391294e-05
2010-02-23,1.8224539652278438e-05
2010-02-24,2.503655461527643e-05
2010-02-25,2.6435137440161682e-05
2010-02-26,2.5959208317383187e-05
2010-03-01,4.152257456890851e-05
2010-03-02,4.8587957631074374e-05
2010-03-03,5.0391254627690785e-05
2010-03-04,5.215395366264808e-05
2010-03-05,5.794976492334847e-05
2010-03-08,5.842426880109386e-05
2010-03-09,6.732340170989559e-05
2010-03-10,6.901347279941739e-05
2010-03-11,7.292302297767783e-05
2010-03-12,7.866911228049389e-05
2010-03-15,6.829840074118465e-05
2010-03-16,7.207040955248267e-05
2010-03-17,7.543667546139332e-05
2010-03-18,6.644680011103077e-05
2010-03-19,6.197592227308313e-05
2010-03-22,7.098787791637307e-05
2010-03-23,7.624816504470111e-05
2010-03-24,7.25522643243437e-05
2010-03-25,6.84919602027545e-05
2010-03-26,6.670326805791049e-05
2010-03-29,6.945867002627892e-05
2010-03-30,6.760725898202757e-05
2010-03-31,6.515311463139994e-05
2010-04-01,7.791812491908523e-05
2010-04-05,8.254125432638482e-05
2010-04-06,8.083171755979279e-05
2010-04-07,8.069109442954137e-05
2010-04-08,8.518001602664249e-05
2010-04-09,8.778602230563592e-05
2010-04-12,9.436536376394855e-05
2010-04-13,9.988479853806354e-05
2010-04-14,0.00011459539232294702
2010-04-15,0.00011044728711162577
2010-04-16,0.00010218779692872104
2010-04-19,9.928924534974293e-05
2010-04-20,0.00010993071242593189
2010-04-21,0.00011897715152264787
2010-04-22,0.00013412990765493404
2010-04-23,0.00014046000246126233
2010-04-26,0.00014043774730354563
2010-04-27,0.00012713871583280856
2010-04-28,0.00012939079552154453
2010-04-29,0.0001341395662792788
2010-04-30,0.00011567124348932367
2010-05-03,0.000131522913283888
2010-05-04,0.00011271765438136683
2010-05-05,0.00010373617530579082
2010-05-06,8.295529133350854e-05
2010-05-07,6.769325036426466e-05
2010-05-10,0.00010610598555316209
2010-05-11,0.00010860484883723487
2010-05-12,0.00012564395551728502
2010-05-13,0.0001250031661232942
2010-05-14,0.00010704965913088671
2010-05-17,0.00010757867379207475
2010-05-18,9.742311218485789e-05
2010-05-19,8.897312603961538e-05
2010-05-20,5.949948673689143e-05
2010-05-21,6.640750546549334e-05
2010-05-24,6.131868480907521e-05
2010-05-25,5.573644704903735e-05
2010-05-26,5.9694676247668e-05
2010-05-27,8.554035861085829e-05
2010-05-28,7.957118659285278e-05
2010-06-01,6.287857166298316e-05
2010-06-02,8.119004698503574e-05
2010-06-03,8.669808412520297e-05
2010-06-04,5.261868607542297e-05
2010-06-07,3.528955247977805e-05
2010-06-08,3.285115543039119e-05
